away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result
New Orleans Saints,nor,Carolina Panthers,car,3,0.5555555555555556,1.6799999999999997,-1.7866666666666666,0.7733333333333332,49.76444444444445,8.786666666666665,8.76888888888889,0.5555555555555556,58.93333333333334,1.764444444444445,0.41333333333333044,-1.3155555555555587,-0.5644444444444445,33.85333333333334,327.5155555555557,1.7688888888888892,83.61777777777775,1.3377777777777777,11.186666666666667,9.16888888888889,-1.0,0.03496503496503495,0.0
Houston Texans,htx,Chicago Bears,chi,3,-0.8125,4.083333333333332,1.1458333333333333,-1.0,105.02083333333334,21.458333333333336,13.854166666666668,-0.29166666666666674,107.5625,2.916666666666667,5.479166666666668,-10.458333333333332,-1.0,-36.1875,214.89583333333326,0.8125,68.83333333333331,-0.33333333333333337,29.125,2.541666666666668,0.3333333333333333,-0.0559056020162676,0.0
Kansas City Chiefs,kan,Indianapolis Colts,clt,3,1.0,0.47430830039525773,-1.940711462450593,-2.130434782608696,22.02371541501978,-2.604743083003953,2.679841897233203,2.383399209486166,5.830039525691689,-0.687747035573123,0.9209486166007927,-3.4150197628458514,-0.16205533596837945,-4.932806324110672,-51.99604743083023,-2.9683794466403164,17.090909090909065,-2.292490118577075,-9.561264822134383,-16.193675889328063,1.0,0.0845238095238095,0.0
Buffalo Bills,buf,Miami Dolphins,mia,3,0.0,0.5,0.7777777777777777,0.7777777777777777,-57.166666666666686,-9.5,-3.5,-0.38888888888888884,-70.27777777777777,-0.666666666666667,-12.833333333333334,4.388888888888889,0.8888888888888888,43.27777777777777,-142.27777777777783,-0.11111111111111116,-13.888888888888914,2.5555555555555554,1.0555555555555571,-13.11111111111111,-0.33333333333333337,0.30795698924731174,0.0
Detroit Lions,det,Minnesota Vikings,min,3,-0.2733333333333333,0.4733333333333327,0.2733333333333333,-0.06,-36.593333333333305,0.9866666666666646,-3.2266666666666666,1.2866666666666668,-29.706666666666678,0.30666666666666664,22.006666666666668,0.5933333333333337,1.32,71.26666666666667,-117.07333333333327,0.9533333333333334,34.67333333333329,-0.06,10.566666666666666,6.886666666666665,-0.717948717948718,0.14962121212121215,0.0
Baltimore Ravens,rav,New England Patriots,nwe,3,-0.05572755417956654,0.7678018575851375,0.052631578947368474,-0.5294117647058824,43.59442724458202,-3.1609907120743017,-1.882352941176471,2.0,35.06191950464395,-2.2229102167182666,9.628482972136222,-3.6191950464396285,0.003095975232198178,9.495356037151694,-265.1609907120742,-0.006191950464396245,53.08978328173379,-1.476780185758514,-19.758513931888547,-8.53250773993808,0.33333333333333337,-0.15663120713024192,1.0
Cincinnati Bengals,cin,New York Jets,nyj,3,-0.6521739130434783,6.275362318840582,-0.33333333333333326,2.3188405797101446,-50.492753623188406,-2.536231884057969,-0.4782608695652186,-1.2898550724637678,-27.1159420289855,-2.304347826086956,-5.913043478260871,12.043478260869566,0.0,28.811594202898547,659.2173913043478,4.318840579710145,-21.681159420289816,1.9855072463768118,-35.681159420289845,23.3768115942029,-0.4012158054711245,0.04541876097620062,1.0
Las Vegas Raiders,rai,Tennessee Titans,oti,3,0.0,2.4761904761904745,0.0952380952380949,0.6190476190476192,36.14285714285714,8.142857142857146,6.380952380952383,0.6666666666666667,52.0952380952381,-0.666666666666667,-0.8095238095238102,-8.76190476190476,-0.3333333333333333,-15.523809523809533,-85.23809523809541,1.8095238095238095,20.619047619047592,-0.1428571428571428,-18.761904761904766,15.952380952380953,-0.5,0.2123758594346829,0.0
Philadelphia Eagles,phi,Washington Commanders,was,3,0.6666666666666667,4.166666666666664,-0.9166666666666666,-1.25,-61.0,-12.416666666666668,-10.333333333333332,-3.25,-78.5,6.5,1.3333333333333321,15.250000000000004,3.166666666666667,124.58333333333334,-35.66666666666674,-2.5,63.583333333333314,-1.5833333333333335,28.58333333333333,-17.5,0.16666666666666663,0.05999999999999994,1.0
Jacksonville Jaguars,jax,Los Angeles Chargers,sdg,3,0.49210526315789477,1.5236842105263158,0.19210526315789472,-0.4921052631578947,-74.82894736842104,-11.589473684210525,-7.244736842105265,-1.35,-76.31578947368422,3.1842105263157894,-15.936842105263157,5.244736842105265,1.0,30.292105263157893,40.46315789473692,-0.9842105263157894,-44.53684210526319,-0.4921052631578947,19.481578947368423,-1.4868421052631575,-0.390006489292667,0.025979649274734784,1.0
Los Angeles Rams,ram,Arizona Cardinals,crd,3,-0.06666666666666671,-1.3333333333333321,-0.8,2.2666666666666666,2.5999999999999943,-3.066666666666663,1.5333333333333314,0.06666666666666665,16.866666666666646,-4.133333333333333,-5.933333333333334,-3.7333333333333307,-1.0666666666666667,-62.666666666666664,-24.933333333333167,2.8,-60.06666666666666,2.6,-37.06666666666667,14.266666666666666,-0.11038961038961037,0.25806451612903225,1.0
Atlanta Falcons,atl,Seattle Seahawks,sea,3,-0.125,8.244565217391305,1.402173913043478,-1.0543478260869565,20.070652173913032,-0.05978260869565233,-4.918478260869566,0.44565217391304346,11.641304347826093,-2.4184782608695654,2.766304347826086,19.548913043478258,1.3043478260869565,121.3913043478261,602.6141304347825,-0.9565217391304348,141.46195652173913,-0.40217391304347805,-56.41847826086956,-8.429347826086957,0.5,0.026666666666666616,1.0
Green Bay Packers,gnb,Tampa Bay Buccaneers,tam,3,-0.625,9.160714285714286,0.8928571428571429,0.48214285714285715,32.0,0.75,5.375,-0.25,57.10714285714286,-5.196428571428571,9.125,-4.928571428571427,1.0,62.07142857142857,103.53571428571422,2.482142857142857,94.07142857142856,0.625,-74.51785714285714,25.107142857142858,0.0,0.11494252873563221,1.0
